Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
18/09/22 2:24,18/09/22 2:25,REM,18/09/22 2:27,58,Apple Watch SE 2020
18/09/22 2:25,18/09/22 2:26,Light/Core,18/09/22 2:27,58,Apple Watch SE 2020
18/09/22 2:26,18/09/22 2:27,Awake,18/09/22 2:27,58,Apple Watch SE 2020
18/09/22 2:27,18/09/22 3:09,Light/Core,18/09/22 2:27,58,Apple Watch SE 2020
18/09/22 3:09,18/09/22 3:25,Deep,18/09/22 3:09,59,Apple Watch SE 2020
18/09/22 3:25,18/09/22 3:25,Awake,18/09/22 3:24,58,Apple Watch SE 2020
18/09/22 3:25,18/09/22 4:13,Light/Core,18/09/22 3:24,58,Apple Watch SE 2020
18/09/22 4:13,18/09/22 4:15,REM,18/09/22 4:14,61,Apple Watch SE 2020
18/09/22 4:15,18/09/22 4:24,Light/Core,18/09/22 4:14,61,Apple Watch SE 2020
18/09/22 4:24,18/09/22 4:25,REM,18/09/22 4:24,57,Apple Watch SE 2020
18/09/22 4:25,18/09/22 4:27,Light/Core,18/09/22 4:24,57,Apple Watch SE 2020
18/09/22 4:27,18/09/22 5:05,REM,18/09/22 4:24,57,Apple Watch SE 2020
18/09/22 5:05,18/09/22 5:10,Light/Core,18/09/22 5:04,58,Apple Watch SE 2020
18/09/22 5:10,18/09/22 5:12,REM,18/09/22 5:10,59,Apple Watch SE 2020
18/09/22 5:12,18/09/22 6:07,Light/Core,18/09/22 5:10,59,Apple Watch SE 2020
18/09/22 6:07,18/09/22 6:28,Awake,18/09/22 6:05,55,Apple Watch SE 2020
18/09/22 6:28,18/09/22 7:03,Light/Core,18/09/22 6:29,61,Apple Watch SE 2020
18/09/22 7:03,18/09/22 7:05,REM,18/09/22 7:04,59,Apple Watch SE 2020
18/09/22 7:05,18/09/22 7:06,Light/Core,18/09/22 7:04,59,Apple Watch SE 2020
18/09/22 7:06,18/09/22 7:22,REM,18/09/22 7:04,59,Apple Watch SE 2020
18/09/22 7:22,18/09/22 7:23,Awake,18/09/22 7:19,59,Apple Watch SE 2020
18/09/22 7:23,18/09/22 7:27,REM,18/09/22 7:25,58,Apple Watch SE 2020
18/09/22 23:52,18/09/22 23:55,Light/Core,18/09/22 23:50,79,Apple Watch SE 2020
18/09/22 23:55,18/09/22 23:57,Awake,18/09/22 23:55,79,Apple Watch SE 2020
18/09/22 23:57,19/09/22 0:16,Light/Core,18/09/22 23:59,73,Apple Watch SE 2020
19/09/22 0:16,19/09/22 0:34,Deep,19/09/22 0:14,74,Apple Watch SE 2020
19/09/22 0:34,19/09/22 0:34,Awake,19/09/22 0:37,68,Apple Watch SE 2020
19/09/22 0:34,19/09/22 0:49,Light/Core,19/09/22 0:37,68,Apple Watch SE 2020
19/09/22 0:49,19/09/22 0:51,Deep,19/09/22 0:49,63,Apple Watch SE 2020
19/09/22 0:51,19/09/22 1:04,Light/Core,19/09/22 0:49,63,Apple Watch SE 2020
19/09/22 1:04,19/09/22 1:12,Deep,19/09/22 1:04,72,Apple Watch SE 2020
19/09/22 1:12,19/09/22 1:17,Light/Core,19/09/22 1:14,70,Apple Watch SE 2020
19/09/22 1:17,19/09/22 1:35,Awake,19/09/22 1:14,70,Apple Watch SE 2020
19/09/22 1:35,19/09/22 1:41,Light/Core,19/09/22 1:35,72,Apple Watch SE 2020
19/09/22 1:41,19/09/22 1:46,Awake,19/09/22 1:39,73,Apple Watch SE 2020
19/09/22 1:46,19/09/22 1:57,Light/Core,19/09/22 1:45,65,Apple Watch SE 2020
19/09/22 1:57,19/09/22 2:14,REM,19/09/22 1:54,65,Apple Watch SE 2020
19/09/22 2:14,19/09/22 2:14,Light/Core,19/09/22 2:17,63,Apple Watch SE 2020
19/09/22 2:14,19/09/22 2:15,Awake,19/09/22 2:17,63,Apple Watch SE 2020
19/09/22 2:15,19/09/22 2:38,Light/Core,19/09/22 2:17,63,Apple Watch SE 2020
19/09/22 2:38,19/09/22 2:45,Deep,19/09/22 2:39,63,Apple Watch SE 2020
19/09/22 2:45,19/09/22 3:01,Light/Core,19/09/22 2:46,61,Apple Watch SE 2020
19/09/22 3:01,19/09/22 3:31,Deep,19/09/22 2:59,62,Apple Watch SE 2020
19/09/22 3:31,19/09/22 3:46,Light/Core,19/09/22 3:30,61,Apple Watch SE 2020
19/09/22 3:46,19/09/22 4:18,REM,19/09/22 3:44,63,Apple Watch SE 2020
19/09/22 4:18,19/09/22 4:20,Awake,19/09/22 4:14,63,Apple Watch SE 2020
19/09/22 4:20,19/09/22 5:15,Light/Core,19/09/22 4:23,61,Apple Watch SE 2020
19/09/22 5:15,19/09/22 5:30,Deep,19/09/22 5:14,64,Apple Watch SE 2020
19/09/22 5:30,19/09/22 5:35,Light/Core,19/09/22 5:29,63.2099,Apple Watch SE 2020
19/09/22 5:35,19/09/22 6:22,REM,19/09/22 5:35,60,Apple Watch SE 2020
19/09/22 6:22,19/09/22 6:53,Light/Core,19/09/22 6:19,59,Apple Watch SE 2020
